timestamp_iso,status_code,latency_ms,error
2026-08-30T00:31:56.791425+00:00,200,38.27,
2026-08-30T00:31:56.829763+00:00,200,10.64,
2026-08-30T00:31:56.873859+00:00,200,11.92,
2026-08-30T00:31:56.920492+00:00,200,11.37,
2026-08-30T00:31:56.966794+00:00,200,10.27,
2026-08-30T00:31:57.013123+00:00,200,10.65,
2026-08-30T00:31:57.059311+00:00,200,11.08,
2026-08-30T00:31:57.105701+00:00,200,10.43,
2026-08-30T00:31:57.152776+00:00,200,14.17,
2026-08-30T00:31:57.200329+00:00,200,11.49,
2026-08-30T00:31:57.246973+00:00,200,11.81,
2026-08-30T00:31:57.294647+00:00,200,10.74,
2026-08-30T00:31:57.341577+00:00,200,11.39,
2026-08-30T00:31:57.387223+00:00,200,11.07,
2026-08-30T00:31:57.433264+00:00,200,10.29,
2026-08-30T00:31:57.478170+00:00,200,12.42,
2026-08-30T00:31:57.523762+00:00,200,13.02,
2026-08-30T00:31:57.569880+00:00,200,12.63,
2026-08-30T00:31:57.615855+00:00,200,12.04,
2026-08-30T00:31:57.663750+00:00,200,11.78,
2026-08-30T00:31:57.711564+00:00,200,10.37,
2026-08-30T00:31:57.757870+00:00,200,10.7,
2026-08-30T00:31:57.805519+00:00,200,11.57,
2026-08-30T00:31:57.852505+00:00,200,10.37,
2026-08-30T00:31:57.899480+00:00,200,11.86,
2026-08-30T00:31:57.944712+00:00,200,10.3,
2026-08-30T00:31:57.991280+00:00,200,11.82,
2026-08-30T00:31:58.036967+00:00,200,10.65,
2026-08-30T00:31:58.083864+00:00,200,10.45,
2026-08-30T00:31:58.131495+00:00,200,11.27,
2026-08-30T00:31:58.178842+00:00,200,16.98,
2026-08-30T00:31:58.225619+00:00,200,15.26,
2026-08-30T00:31:58.273949+00:00,200,13.45,
2026-08-30T00:31:58.320215+00:00,200,14.0,
2026-08-30T00:31:58.366943+00:00,200,11.29,
2026-08-30T00:31:58.413502+00:00,200,12.95,
2026-08-30T00:31:58.459402+00:00,200,11.94,
2026-08-30T00:31:58.505263+00:00,200,15.61,
2026-08-30T00:31:58.553024+00:00,200,15.04,
2026-08-30T00:31:58.600245+00:00,200,12.69,
2026-08-30T00:31:58.647316+00:00,200,12.84,
2026-08-30T00:31:58.693011+00:00,200,12.88,
2026-08-30T00:31:58.739123+00:00,200,13.86,
2026-08-30T00:31:58.786477+00:00,200,12.01,
2026-08-30T00:31:58.833532+00:00,200,13.22,
2026-08-30T00:31:58.880194+00:00,200,12.72,
2026-08-30T00:31:58.925956+00:00,200,13.32,
2026-08-30T00:31:58.971158+00:00,200,11.56,
2026-08-30T00:31:59.018876+00:00,200,12.14,
2026-08-30T00:31:59.065580+00:00,200,11.2,
2026-08-30T00:31:59.113502+00:00,200,11.26,
2026-08-30T00:31:59.159242+00:00,200,11.35,
2026-08-30T00:31:59.205382+00:00,200,16.23,
2026-08-30T00:31:59.253080+00:00,200,11.81,
2026-08-30T00:31:59.299847+00:00,200,11.73,
2026-08-30T00:31:59.345914+00:00,200,12.01,
2026-08-30T00:31:59.392906+00:00,200,12.03,
2026-08-30T00:31:59.440217+00:00,200,12.14,
