timestamp_iso,status_code,latency_ms,error
2026-08-30T00:49:49.814842+00:00,400,77.74,
2026-08-30T00:49:49.834196+00:00,400,63.64,
2026-08-30T00:49:49.847462+00:00,400,51.61,
2026-08-30T00:49:49.878452+00:00,400,26.54,
2026-08-30T00:49:49.863181+00:00,400,43.87,
2026-08-30T00:49:49.899107+00:00,400,30.35,
2026-08-30T00:49:49.908882+00:00,400,22.71,
2026-08-30T00:49:49.924169+00:00,400,22.42,
2026-08-30T00:49:49.940420+00:00,400,23.55,
2026-08-30T00:49:49.955219+00:00,400,19.87,
2026-08-30T00:49:49.970072+00:00,400,23.5,
2026-08-30T00:49:49.985473+00:00,400,20.96,
2026-08-30T00:49:50.000553+00:00,400,23.98,
2026-08-30T00:49:50.015857+00:00,400,19.68,
2026-08-30T00:49:50.030600+00:00,400,23.84,
2026-08-30T00:49:50.046401+00:00,400,20.12,
2026-08-30T00:49:50.061248+00:00,400,20.48,
2026-08-30T00:49:50.076776+00:00,400,19.58,
2026-08-30T00:49:50.091731+00:00,400,20.2,
2026-08-30T00:49:50.107101+00:00,400,20.82,
2026-08-30T00:49:50.123164+00:00,400,21.16,
2026-08-30T00:49:50.139063+00:00,400,23.82,
2026-08-30T00:49:50.154418+00:00,400,20.43,
2026-08-30T00:49:50.170101+00:00,400,21.09,
2026-08-30T00:49:50.186230+00:00,400,20.79,
2026-08-30T00:49:50.202007+00:00,400,23.98,
2026-08-30T00:49:50.217016+00:00,400,19.63,
2026-08-30T00:49:50.232058+00:00,400,20.8,
2026-08-30T00:49:50.248016+00:00,400,20.67,
2026-08-30T00:49:50.263987+00:00,400,23.2,
2026-08-30T00:49:50.279459+00:00,400,19.66,
2026-08-30T00:49:50.294673+00:00,400,20.53,
2026-08-30T00:49:50.310191+00:00,400,21.08,
2026-08-30T00:49:50.326192+00:00,400,21.31,
2026-08-30T00:49:50.341273+00:00,400,22.75,
2026-08-30T00:49:50.356158+00:00,400,21.12,
2026-08-30T00:49:50.372110+00:00,400,21.9,
2026-08-30T00:49:50.388046+00:00,400,22.57,
2026-08-30T00:49:50.402482+00:00,400,20.39,
2026-08-30T00:49:50.417763+00:00,400,22.98,
2026-08-30T00:49:50.433378+00:00,400,20.48,
2026-08-30T00:49:50.448444+00:00,400,21.49,
2026-08-30T00:49:50.463597+00:00,400,21.45,
2026-08-30T00:49:50.478908+00:00,400,23.32,
2026-08-30T00:49:50.494082+00:00,400,21.53,
2026-08-30T00:49:50.509307+00:00,400,25.38,
2026-08-30T00:49:50.525115+00:00,400,20.76,
2026-08-30T00:49:50.540181+00:00,400,25.41,
2026-08-30T00:49:50.556479+00:00,400,21.68,
2026-08-30T00:49:50.572023+00:00,400,24.69,
2026-08-30T00:49:50.588097+00:00,400,21.59,
2026-08-30T00:49:50.603533+00:00,400,23.97,
2026-08-30T00:49:50.618959+00:00,400,22.04,
2026-08-30T00:49:50.634467+00:00,400,24.45,
2026-08-30T00:49:50.649815+00:00,400,20.32,
2026-08-30T00:49:50.664645+00:00,400,23.68,
2026-08-30T00:49:50.679995+00:00,400,20.68,
2026-08-30T00:49:50.695398+00:00,400,23.57,
2026-08-30T00:49:50.710449+00:00,400,20.92,
2026-08-30T00:49:50.726146+00:00,400,21.46,
2026-08-30T00:49:50.741641+00:00,400,24.06,
2026-08-30T00:49:50.757623+00:00,400,20.38,
2026-08-30T00:49:50.772883+00:00,400,23.65,
2026-08-30T00:49:50.788033+00:00,400,21.33,
2026-08-30T00:49:50.804311+00:00,400,22.13,
2026-08-30T00:49:50.819710+00:00,400,23.08,
2026-08-30T00:49:50.834559+00:00,400,20.22,
2026-08-30T00:49:50.850251+00:00,400,21.19,
2026-08-30T00:49:50.866212+00:00,400,22.35,
2026-08-30T00:49:50.881521+00:00,400,21.61,
2026-08-30T00:49:50.897228+00:00,400,22.38,
2026-08-30T00:49:50.912415+00:00,400,19.3,
2026-08-30T00:49:50.927491+00:00,400,21.73,
2026-08-30T00:49:50.943389+00:00,400,24.05,
2026-08-30T00:49:50.959486+00:00,400,19.95,
2026-08-30T00:49:50.974895+00:00,400,22.42,
2026-08-30T00:49:50.991202+00:00,400,21.15,
2026-08-30T00:49:51.005952+00:00,400,20.52,
2026-08-30T00:49:51.021363+00:00,400,20.36,
2026-08-30T00:49:51.037500+00:00,400,20.78,
2026-08-30T00:49:51.053552+00:00,400,23.15,
2026-08-30T00:49:51.068741+00:00,400,20.14,
2026-08-30T00:49:51.083654+00:00,400,23.78,
2026-08-30T00:49:51.099416+00:00,400,20.43,
2026-08-30T00:49:51.114891+00:00,400,23.3,
2026-08-30T00:49:51.129706+00:00,400,22.45,
2026-08-30T00:49:51.145385+00:00,400,23.48,
2026-08-30T00:49:51.160862+00:00,400,22.26,
2026-08-30T00:49:51.176486+00:00,400,24.41,
2026-08-30T00:49:51.192289+00:00,400,21.48,
2026-08-30T00:49:51.208075+00:00,400,23.57,
2026-08-30T00:49:51.223365+00:00,400,21.05,
2026-08-30T00:49:51.239470+00:00,400,24.02,
2026-08-30T00:49:51.254989+00:00,400,20.6,
2026-08-30T00:49:51.270455+00:00,400,20.96,
2026-08-30T00:49:51.286128+00:00,400,23.42,
2026-08-30T00:49:51.301327+00:00,400,20.58,
2026-08-30T00:49:51.316397+00:00,400,21.15,
2026-08-30T00:49:51.332450+00:00,400,24.16,
2026-08-30T00:49:51.348159+00:00,400,21.2,
2026-08-30T00:49:51.363994+00:00,400,21.3,
2026-08-30T00:49:51.378643+00:00,400,23.89,
2026-08-30T00:49:51.394139+00:00,400,20.69,
2026-08-30T00:49:51.409401+00:00,400,24.92,
2026-08-30T00:49:51.425011+00:00,400,19.54,
2026-08-30T00:49:51.439573+00:00,400,23.0,
2026-08-30T00:49:51.454604+00:00,400,21.0,
2026-08-30T00:49:51.469994+00:00,400,23.15,
2026-08-30T00:49:51.485206+00:00,400,20.92,
2026-08-30T00:49:51.500913+00:00,400,23.3,
2026-08-30T00:49:51.516251+00:00,400,20.7,
2026-08-30T00:49:51.531149+00:00,400,24.49,
2026-08-30T00:49:51.546985+00:00,400,21.09,
2026-08-30T00:49:51.562364+00:00,400,23.95,
2026-08-30T00:49:51.578104+00:00,400,20.24,
2026-08-30T00:49:51.593572+00:00,400,20.9,
2026-08-30T00:49:51.609162+00:00,400,22.96,
2026-08-30T00:49:51.624484+00:00,400,20.15,
2026-08-30T00:49:51.639404+00:00,400,19.96,
2026-08-30T00:49:51.654675+00:00,400,20.2,
2026-08-30T00:49:51.670164+00:00,400,21.75,
2026-08-30T00:49:51.686211+00:00,400,24.03,
2026-08-30T00:49:51.702172+00:00,400,21.49,
2026-08-30T00:49:51.718192+00:00,400,23.61,
2026-08-30T00:49:51.733412+00:00,400,21.55,
2026-08-30T00:49:51.749684+00:00,400,22.66,
2026-08-30T00:49:51.764949+00:00,400,20.37,
2026-08-30T00:49:51.780189+00:00,400,21.01,
2026-08-30T00:49:51.796491+00:00,400,21.31,
2026-08-30T00:49:51.812454+00:00,400,22.22,
2026-08-30T00:49:51.827658+00:00,400,20.1,
2026-08-30T00:49:51.842463+00:00,400,22.9,
2026-08-30T00:49:51.858228+00:00,400,20.43,
2026-08-30T00:49:51.873447+00:00,400,22.14,
2026-08-30T00:49:51.889262+00:00,400,21.98,
2026-08-30T00:49:51.905214+00:00,400,22.43,
2026-08-30T00:49:51.920250+00:00,400,21.4,
2026-08-30T00:49:51.936308+00:00,400,23.53,
2026-08-30T00:49:51.951745+00:00,400,19.8,
2026-08-30T00:49:51.966878+00:00,400,21.74,
2026-08-30T00:49:51.983014+00:00,400,25.02,
2026-08-30T00:49:51.998348+00:00,400,20.99,
2026-08-30T00:49:52.014619+00:00,400,20.24,
2026-08-30T00:49:52.029737+00:00,400,22.32,
2026-08-30T00:49:52.044799+00:00,400,19.49,
2026-08-30T00:49:52.059541+00:00,400,21.71,
2026-08-30T00:49:52.076082+00:00,400,21.21,
2026-08-30T00:49:52.092039+00:00,400,23.34,
2026-08-30T00:49:52.107358+00:00,400,22.07,
2026-08-30T00:49:52.123526+00:00,400,21.93,
2026-08-30T00:49:52.138347+00:00,400,21.38,
2026-08-30T00:49:52.153852+00:00,400,23.0,
2026-08-30T00:49:52.169332+00:00,400,20.29,
2026-08-30T00:49:52.184702+00:00,400,25.25,
2026-08-30T00:49:52.199849+00:00,400,22.26,
2026-08-30T00:49:52.215635+00:00,400,23.13,
2026-08-30T00:49:52.231150+00:00,400,21.36,
2026-08-30T00:49:52.247018+00:00,400,25.09,
2026-08-30T00:49:52.262537+00:00,400,23.46,
2026-08-30T00:49:52.277861+00:00,400,22.61,
2026-08-30T00:49:52.293382+00:00,400,20.3,
2026-08-30T00:49:52.309184+00:00,400,20.99,
2026-08-30T00:49:52.324777+00:00,400,20.97,
2026-08-30T00:49:52.340529+00:00,400,19.69,
2026-08-30T00:49:52.355430+00:00,400,20.47,
2026-08-30T00:49:52.371355+00:00,400,19.9,
2026-08-30T00:49:52.386689+00:00,400,21.25,
2026-08-30T00:49:52.401497+00:00,400,20.56,
2026-08-30T00:49:52.417320+00:00,400,22.65,
2026-08-30T00:49:52.432335+00:00,400,20.59,
2026-08-30T00:49:52.447691+00:00,400,22.55,
2026-08-30T00:49:52.462689+00:00,400,20.55,
2026-08-30T00:49:52.478108+00:00,400,20.87,
2026-08-30T00:49:52.493911+00:00,400,24.85,
2026-08-30T00:49:52.508842+00:00,400,24.82,
2026-08-30T00:49:52.524615+00:00,400,25.76,
2026-08-30T00:49:52.539687+00:00,400,31.31,
2026-08-30T00:49:52.554427+00:00,400,24.11,
2026-08-30T00:49:52.571189+00:00,400,34.84,
2026-08-30T00:49:52.596271+00:00,400,26.96,
2026-08-30T00:49:52.616861+00:00,400,25.38,
2026-08-30T00:49:52.631369+00:00,400,21.24,
2026-08-30T00:49:52.647070+00:00,400,21.52,
2026-08-30T00:49:52.661519+00:00,400,20.39,
2026-08-30T00:49:52.677239+00:00,400,19.98,
2026-08-30T00:49:52.692517+00:00,400,21.33,
2026-08-30T00:49:52.708577+00:00,400,24.08,
2026-08-30T00:49:52.724759+00:00,400,20.58,
2026-08-30T00:49:52.740095+00:00,400,23.12,
2026-08-30T00:49:52.755187+00:00,400,21.48,
2026-08-30T00:49:52.771655+00:00,400,23.76,
2026-08-30T00:49:52.787311+00:00,400,20.71,
2026-08-30T00:49:52.803133+00:00,400,23.37,
2026-08-30T00:49:52.818464+00:00,400,20.34,
2026-08-30T00:49:52.833109+00:00,400,22.67,
2026-08-30T00:49:52.848411+00:00,400,20.93,
2026-08-30T00:49:52.864250+00:00,400,21.68,
2026-08-30T00:49:52.880470+00:00,400,23.72,
2026-08-30T00:49:52.896344+00:00,400,22.03,
2026-08-30T00:49:52.911565+00:00,400,19.69,
2026-08-30T00:49:52.926564+00:00,400,20.09,
2026-08-30T00:49:52.941873+00:00,400,24.47,
2026-08-30T00:49:52.957662+00:00,400,21.1,
2026-08-30T00:49:52.973483+00:00,400,20.93,
2026-08-30T00:49:52.988694+00:00,400,23.88,
2026-08-30T00:49:53.004106+00:00,400,21.54,
2026-08-30T00:49:53.019265+00:00,400,21.48,
2026-08-30T00:49:53.035047+00:00,400,26.03,
2026-08-30T00:49:53.050948+00:00,400,22.14,
2026-08-30T00:49:53.066519+00:00,400,25.77,
2026-08-30T00:49:53.082373+00:00,400,21.77,
2026-08-30T00:49:53.098830+00:00,400,22.86,
2026-08-30T00:49:53.114278+00:00,400,20.5,
2026-08-30T00:49:53.129229+00:00,400,24.86,
2026-08-30T00:49:53.145236+00:00,400,20.66,
2026-08-30T00:49:53.160634+00:00,400,24.06,
2026-08-30T00:49:53.176251+00:00,400,20.38,
2026-08-30T00:49:53.191201+00:00,400,21.35,
2026-08-30T00:49:53.206793+00:00,400,22.82,
2026-08-30T00:49:53.221706+00:00,400,21.68,
2026-08-30T00:49:53.237421+00:00,400,23.9,
2026-08-30T00:49:53.252884+00:00,400,20.27,
2026-08-30T00:49:53.268034+00:00,400,22.25,
2026-08-30T00:49:53.284213+00:00,400,24.71,
2026-08-30T00:49:53.300538+00:00,400,21.86,
2026-08-30T00:49:53.316345+00:00,400,23.47,
2026-08-30T00:49:53.331772+00:00,400,21.6,
2026-08-30T00:49:53.347624+00:00,400,23.29,
2026-08-30T00:49:53.363102+00:00,400,21.68,
2026-08-30T00:49:53.379039+00:00,400,23.78,
2026-08-30T00:49:53.394240+00:00,400,20.58,
2026-08-30T00:49:53.409330+00:00,400,23.78,
2026-08-30T00:49:53.424732+00:00,400,21.35,
2026-08-30T00:49:53.440406+00:00,400,21.61,
2026-08-30T00:49:53.456348+00:00,400,24.17,
2026-08-30T00:49:53.471777+00:00,400,21.91,
2026-08-30T00:49:53.487866+00:00,400,23.27,
2026-08-30T00:49:53.503114+00:00,400,21.46,
2026-08-30T00:49:53.518535+00:00,400,21.31,
2026-08-30T00:49:53.534374+00:00,400,23.51,
2026-08-30T00:49:53.549675+00:00,400,20.0,
2026-08-30T00:49:53.564478+00:00,400,21.76,
2026-08-30T00:49:53.580142+00:00,400,25.56,
2026-08-30T00:49:53.596255+00:00,400,20.56,
2026-08-30T00:49:53.611853+00:00,400,23.33,
2026-08-30T00:49:53.627191+00:00,400,20.97,
2026-08-30T00:49:53.642505+00:00,400,23.41,
2026-08-30T00:49:53.657459+00:00,400,20.96,
2026-08-30T00:49:53.673029+00:00,400,21.03,
2026-08-30T00:49:53.688732+00:00,400,24.0,
2026-08-30T00:49:53.704513+00:00,400,21.25,
2026-08-30T00:49:53.719912+00:00,400,24.97,
2026-08-30T00:49:53.735929+00:00,400,20.08,
2026-08-30T00:49:53.751320+00:00,400,21.08,
2026-08-30T00:49:53.767111+00:00,400,21.56,
2026-08-30T00:49:53.783154+00:00,400,24.6,
2026-08-30T00:49:53.799209+00:00,400,19.84,
2026-08-30T00:49:53.814340+00:00,400,21.28,
2026-08-30T00:49:53.830439+00:00,400,24.22,
2026-08-30T00:49:53.846251+00:00,400,20.62,
2026-08-30T00:49:53.861346+00:00,400,23.3,
2026-08-30T00:49:53.876411+00:00,400,24.03,
2026-08-30T00:49:53.891938+00:00,400,23.01,
2026-08-30T00:49:53.906827+00:00,400,20.74,
2026-08-30T00:49:53.922169+00:00,400,23.08,
2026-08-30T00:49:53.937542+00:00,400,19.61,
